13154,ACTIVE (ISSUED),421434,NW NECTAR,11610 W WHITE RD,SPOKANE,99224,Producer and/or Processor,0,47.584517,-117.573935
13155,ACTIVE (ISSUED),421485,GANJA FARMS,6481 PORTAL WAY    UNIT B,FERNDALE,98248,Producer and/or Processor,24869.4,48.876644,-122.584994
13156,ACTIVE (ISSUED),421490,NORTHWEST COLLECTIVE,9326 KIMMIE ST SW STE B,OLYMPIA,98512,Retailer,84700.9,46.949446,-122.928991
13051,PENDING (ISSUED),417381,RL FARMS,128852 SR 26 STE A,COLFAX,99111,Producer and/or Processor,22949.46,46.850061,-117.470619
13157,ACTIVE (ISSUED),421491,A & J MANAGEMENT GROUP,234 DIVISION ST NW STE B,OLYMPIA,98502,Retailer,154146.51,47.046492,-122.92577
13052,ACTIVE (ISSUED),417384,ISLAND GREEN GROWERS,4525 DEER LAKE RD,CLINTON,98236,Producer and/or Processor,0,47.974457,-122.368904
13158,ACTIVE (ISSUED),421497,C.K. ORGANICS,8101 NE 229TH CT  STE A,VANCOUVER,98682,Producer and/or Processor,5980,45.681285,-122.436195
13053,ACTIVE (ISSUED),417385,RJL,8846 HWY 14 STE A,WISHRAM,98673,Producer and/or Processor,86368.52,45.660109,-120.968218
13159,ACTIVE (ISSUED),421514,UNCLE IKES,9822 15TH AVE SW,SEATTLE,98106,Retailer,0,47.514869,-122.353397
13160,PENDING (ISSUED),421534,RADNESS LABS,3810 AIRPORT WAY S UNIT 103,SEATTLE,98108,Producer and/or Processor,0,47.569736,-122.322622
13054,PENDING (ISSUED),417388,LLIDNOC FARMS,26525 S RUPP RD #3,CHENEY,99004,Producer and/or Processor,98141.89,47.422084,-117.470114
13161,ACTIVE (ISSUED),421552,KUSHMAN,15804 HIGHWAY 99 UNIT A,LYNNWOOD,98087,Retailer,0,47.87263,-122.270929
13055,ACTIVE (ISSUED),417394,CELSS MICRO FARMS,68705 N 132 PR NE,BENTON CITY,99320,Producer and/or Processor,37410.46,46.313578,-119.467081
13162,ACTIVE (ISSUED),421555,COVINGTON HOLISTIC MEDICINE,16908 SE 269TH PLACE,COVINGTON,98042,Retailer,0,47.37648,-122.0994
13056,ACTIVE (ISSUED),417395,TOLMAN CONSTRUCTION,3895 MALAGA AVE,MALAGA,98828,Producer and/or Processor,154209.43,47.371502,-120.200298
